Timestamp,SentBy,Topic,Message,Specificity_Anurag,Relevance_Anurag,Clarity_Anurag,Open_ended_Questions,Expanded_Closed_Questions
2021-12-29 18:02:08.830000+00:00,chatbotAgentA,Survey on the impact of COVID-19,Have you discovered any new outdoor activities or sports?,0,0,0,0,0
2021-12-29 18:02:47.535000+00:00,user,Survey on the impact of COVID-19,I play disc golf now,0,0,0,1,0
2021-12-29 18:02:51.932000+00:00,chatbotAgentA,Survey on the impact of COVID-19,Do you spend more or less time in your backyard?,0,0,0,0,0
2021-12-29 18:03:09.335000+00:00,user,Survey on the impact of COVID-19,I spend more time in my backyard since I don't go out as much,0,0,0,1,0
2021-12-29 18:03:13.821000+00:00,chatbotAgentA,Survey on the impact of COVID-19,What was your daily life like before COVID began?,0,0,0,0,0
2021-12-29 18:03:32.146000+00:00,user,Survey on the impact of COVID-19,I would work and plan vacations in my free time,0,0,0,1,0
2021-12-29 18:03:36.363000+00:00,chatbotAgentA,Survey on the impact of COVID-19,Have you been able to return to these activities now that quarantine is over?,0,0,0,0,0
2021-12-29 18:04:00.111000+00:00,user,Survey on the impact of COVID-19,"No, I don't plan vacations any more",0,0,0,0,1
2021-12-29 18:04:01.581000+00:00,chatbotAgentA,Survey on the impact of COVID-19,Okay.,0,0,0,0,0
2021-12-29 18:04:02.588000+00:00,chatbotAgentA,Survey on the impact of COVID-19,Are you finding that there are some activities that are not as enjoyable as previously or that you still feel uncomfortable participating in?,0,0,0,0,0
2021-12-29 18:04:28.459000+00:00,user,Survey on the impact of COVID-19,I am uncomfortable being on an airplane or being in a restaurant,0,0,0,1,0
2021-12-29 18:04:32.973000+00:00,chatbotAgentA,Survey on the impact of COVID-19,"Did the pandemic force you to make any huge changes? For example, moving, or changing career paths?",0,0,0,0,0
2021-12-29 18:04:50.236000+00:00,user,Survey on the impact of COVID-19,We moved to make housing more affordable,0,0,0,1,0
2021-12-29 18:04:54.693000+00:00,chatbotAgentA,Survey on the impact of COVID-19,Did you move in with your family?,0,0,0,0,0
2021-12-29 18:04:59.387000+00:00,user,Survey on the impact of COVID-19,Yes,0,0,0,0,0
2021-12-29 18:05:01.795000+00:00,chatbotAgentA,Survey on the impact of COVID-19,Do you find yourself more or less connected with friends and family these days?,0,0,0,0,0
2021-12-29 18:05:24.853000+00:00,user,Survey on the impact of COVID-19,Yes I feel more connected because I have to rely on others more since the pandemic,0,0,0,0,1
2021-12-29 18:05:26.338000+00:00,chatbotAgentA,Survey on the impact of COVID-19,Got it.,0,0,0,0,0
2021-12-29 18:05:28.361000+00:00,chatbotAgentA,Survey on the impact of COVID-19,Do you have a favorite online platform now?,0,0,0,0,0
2021-12-29 18:05:40.080000+00:00,user,Survey on the impact of COVID-19,I enjoy watching youtube videos,0,0,0,0,1
2021-12-29 18:05:44.475000+00:00,chatbotAgentA,Survey on the impact of COVID-19,Do you use delivery services more than you used to?,0,0,0,0,0
2021-12-29 18:06:00.976000+00:00,user,Survey on the impact of COVID-19,Yes I order more things online now,0,0,0,0,1
2021-12-29 18:06:02.470000+00:00,chatbotAgentA,Survey on the impact of COVID-19,Super.,0,0,0,0,0
2021-12-29 18:06:04.485000+00:00,chatbotAgentA,Survey on the impact of COVID-19,What delivery services do you use?,0,0,0,0,0
2021-12-29 18:06:20.093000+00:00,user,Survey on the impact of COVID-19,I use amazon and whole foods,0,0,0,1,0
2021-12-29 18:06:24.349000+00:00,chatbotAgentA,Survey on the impact of COVID-19,What businesses do you receive delivery from?,0,0,0,0,0
2021-12-29 18:07:13.101000+00:00,user,Survey on the impact of COVID-19,Amazon,0,0,0,1,0
2021-12-29 18:07:17.286000+00:00,chatbotAgentA,Survey on the impact of COVID-19,"Did your daily transitions (a commute, a daily walk, a daily coffee) disappear over the pandemic?",0,0,0,0,0
2021-12-29 18:07:46.637000+00:00,user,Survey on the impact of COVID-19,Yes I no longer commute t,0,0,0,0,0
2021-12-29 18:12:53.828000+00:00,user,Survey on the impact of COVID-19,hello,0,0,0,0,0
2021-12-29 18:12:56.354000+00:00,chatbotAgentA,Survey on the impact of COVID-19,Howdy human :)!,0,0,0,0,0
2021-12-29 18:13:05.091000+00:00,user,Survey on the impact of COVID-19,is this over?,0,0,0,0,0
2021-12-29 18:13:07.295000+00:00,chatbotAgentA,Survey on the impact of COVID-19,"we are about 40% done. Do you see a progress bar on the top right corner of our chat window? When the bar is all green, we are done.",0,0,0,0,0
2021-12-29 18:13:26.084000+00:00,user,Survey on the impact of COVID-19,i don't see a bar,0,0,0,0,0
2021-12-29 18:13:27.546000+00:00,chatbotAgentA,Survey on the impact of COVID-19,Okay.,0,0,0,0,0
2021-12-29 18:13:28.559000+00:00,chatbotAgentA,Survey on the impact of COVID-19,Were you working during the height of the pandemic?,0,0,0,0,0
2021-12-29 18:13:36.843000+00:00,user,Survey on the impact of COVID-19,home,0,0,0,0,0
2021-12-29 18:13:41.252000+00:00,chatbotAgentA,Survey on the impact of COVID-19,Has your place of employment stayed consistent since the pandemic began?,0,0,0,0,0
2021-12-29 18:13:44.230000+00:00,user,Survey on the impact of COVID-19,yes,0,0,0,0,0
2021-12-29 18:13:46.649000+00:00,chatbotAgentA,Survey on the impact of COVID-19,Were you remote or in-person?,0,0,0,0,0
2021-12-29 18:13:51.533000+00:00,user,Survey on the impact of COVID-19,remote,0,0,0,0,0
2021-12-29 18:13:53.747000+00:00,chatbotAgentA,Survey on the impact of COVID-19,Did you enjoy working remotely?,0,0,0,0,0
2021-12-29 18:13:56.558000+00:00,user,Survey on the impact of COVID-19,yes,0,0,0,0,0
2021-12-29 18:13:58.995000+00:00,chatbotAgentA,Survey on the impact of COVID-19,How did your routine change while you were remote?,0,0,0,0,0
2021-12-29 18:14:15.909000+00:00,user,Survey on the impact of COVID-19,i saved time by not having to get dressed or commute,0,0,0,1,0
2021-12-29 18:14:18.348000+00:00,chatbotAgentA,Survey on the impact of COVID-19,Too bad... since I speak just English.,0,0,0,0,0
2021-12-29 18:14:26.635000+00:00,user,Survey on the impact of COVID-19,same,0,0,0,0,0
2021-12-29 18:14:30.988000+00:00,chatbotAgentA,Survey on the impact of COVID-19,Have you been able to maintain a work/life balance?,0,0,0,0,0
2021-12-29 18:14:36.742000+00:00,user,Survey on the impact of COVID-19,yes,0,0,0,0,0
2021-12-29 18:14:39.171000+00:00,chatbotAgentA,Survey on the impact of COVID-19,Are you working more or less these days?,0,0,0,0,0
2021-12-29 18:14:44.319000+00:00,user,Survey on the impact of COVID-19,less,0,0,0,0,0
2021-12-29 18:14:48.502000+00:00,chatbotAgentA,Survey on the impact of COVID-19,Are you a student?,0,0,0,0,0
2021-12-29 18:15:14.035000+00:00,user,Survey on the impact of COVID-19,no,0,0,0,0,0
2021-12-29 18:15:16.458000+00:00,chatbotAgentA,Survey on the impact of COVID-19,Do you or any of your family members receive regular care that they are now not able to?,0,0,0,0,0
2021-12-29 18:15:32.890000+00:00,user,Survey on the impact of COVID-19,no,0,0,0,0,0
2021-12-29 18:15:35.323000+00:00,chatbotAgentA,Survey on the impact of COVID-19,Do you and your family receive food assistance?,0,0,0,0,0
2021-12-29 18:16:52.235000+00:00,user,Survey on the impact of COVID-19,no,0,0,0,0,0
2021-12-29 18:16:54.678000+00:00,chatbotAgentA,Survey on the impact of COVID-19,Has COVID changed the behavior in people where they used to help others but not anymore?,0,0,0,0,0
2021-12-29 18:17:09.847000+00:00,user,Survey on the impact of COVID-19,Yes people are more selfish now,0,0,0,0,1
2021-12-29 18:17:11.297000+00:00,chatbotAgentA,Survey on the impact of COVID-19,Got it.,0,0,0,0,0
2021-12-29 18:17:13.316000+00:00,chatbotAgentA,Survey on the impact of COVID-19,How do you feel about video conferencing?,0,0,0,0,0
2021-12-29 18:17:19.918000+00:00,user,Survey on the impact of COVID-19,I find it annoying,0,0,0,1,0
2021-12-29 18:17:24.152000+00:00,chatbotAgentA,Survey on the impact of COVID-19,Do you find video conferencing an effective platform for learning? What about socializing?,0,0,0,0,0
2021-12-29 18:17:40.734000+00:00,user,Survey on the impact of COVID-19,"Learning, yes. Socializing, no.",0,0,0,0,0
2021-12-29 18:17:46.362000+00:00,chatbotAgentA,Survey on the impact of COVID-19,Do you find that you are continuing to use Zoom for various reasons?,0,0,0,0,0
2021-12-29 18:17:52.638000+00:00,user,Survey on the impact of COVID-19,Yes,0,0,0,0,0
2021-12-29 18:17:54.068000+00:00,chatbotAgentA,Survey on the impact of COVID-19,Thanks for your confirmation.,0,0,0,0,0
2021-12-29 18:17:56.098000+00:00,chatbotAgentA,Survey on the impact of COVID-19,Does zoom feel like a convenient option over meeting in person?,0,0,0,0,0
2021-12-29 18:18:05.446000+00:00,user,Survey on the impact of COVID-19,"Yes, it saves time commuting",0,0,0,0,1
2021-12-29 18:18:06.905000+00:00,chatbotAgentA,Survey on the impact of COVID-19,Great.,0,0,0,0,0
2021-12-29 18:18:08.921000+00:00,chatbotAgentA,Survey on the impact of COVID-19,Do you spend more or less time on social media than you did previously?,0,0,0,0,0
2021-12-29 18:18:21.300000+00:00,user,Survey on the impact of COVID-19,More,0,0,0,0,0
2021-12-29 18:18:25.534000+00:00,chatbotAgentA,Survey on the impact of COVID-19,Has this changed since returning to in-person activities?,0,0,0,0,0
2021-12-29 18:18:32.641000+00:00,user,Survey on the impact of COVID-19,Yes,0,0,0,0,0
2021-12-29 18:18:34.086000+00:00,chatbotAgentA,Survey on the impact of COVID-19,Super.,0,0,0,0,0
2021-12-29 18:18:35.097000+00:00,chatbotAgentA,Survey on the impact of COVID-19,Did you join or quit any social media platforms due to the pandemic?,0,0,0,0,0
2021-12-29 18:18:51.239000+00:00,user,Survey on the impact of COVID-19,I joined Discord,0,0,0,0,0
2021-12-29 18:18:55.805000+00:00,chatbotAgentA,Survey on the impact of COVID-19,Are you able to get the kind of healthcare that you need?,0,0,0,0,0
2021-12-29 18:19:17.691000+00:00,user,Survey on the impact of COVID-19,Yes,0,0,0,0,0
2021-12-29 18:19:19.181000+00:00,chatbotAgentA,Survey on the impact of COVID-19,Great.,0,0,0,0,0
2021-12-29 18:19:21.199000+00:00,chatbotAgentA,Survey on the impact of COVID-19,Do you prefer tele-health to in-person health care?,0,0,0,0,0
2021-12-29 18:19:29.158000+00:00,user,Survey on the impact of COVID-19,Yes,0,0,0,0,0
2021-12-29 18:19:30.606000+00:00,chatbotAgentA,Survey on the impact of COVID-19,Got it.,0,0,0,0,0
2021-12-29 18:19:32.615000+00:00,chatbotAgentA,Survey on the impact of COVID-19,Have you been to the doctor in person?,0,0,0,0,0
2021-12-29 18:19:39.475000+00:00,user,Survey on the impact of COVID-19,Yes,0,0,0,0,0
2021-12-29 18:19:40.917000+00:00,chatbotAgentA,Survey on the impact of COVID-19,Thanks for your confirmation.,0,0,0,0,0
2021-12-29 18:19:42.922000+00:00,chatbotAgentA,Survey on the impact of COVID-19,Do you feel mentally better or worse than before COVID began?,0,0,0,0,0
2021-12-29 18:19:49.362000+00:00,user,Survey on the impact of COVID-19,Worse,0,0,0,0,0
2021-12-29 18:19:53.555000+00:00,chatbotAgentA,Survey on the impact of COVID-19,Do you find that you need extra support during this transitional period back to public?,0,0,0,0,0
2021-12-29 18:20:01.730000+00:00,user,Survey on the impact of COVID-19,No,0,0,0,0,0
2021-12-29 18:20:03.173000+00:00,chatbotAgentA,Survey on the impact of COVID-19,"Got it, thanks.",0,0,0,0,0
2021-12-29 18:20:05.197000+00:00,chatbotAgentA,Survey on the impact of COVID-19,Did you receive the vaccine?,0,0,0,0,0
2021-12-29 18:20:09.232000+00:00,user,Survey on the impact of COVID-19,Yes,0,0,0,0,0
2021-12-29 18:20:10.654000+00:00,chatbotAgentA,Survey on the impact of COVID-19,Got it.,0,0,0,0,0
2021-12-29 18:20:12.671000+00:00,chatbotAgentA,Survey on the impact of COVID-19,How did you feel after you received the vaccine? Have any of the effects lasted long-term?,0,0,0,0,0
2021-12-29 18:20:28.062000+00:00,user,Survey on the impact of COVID-19,I was sore and tired. No lasting effects,0,0,0,1,0
2021-12-29 18:20:32.291000+00:00,chatbotAgentA,Survey on the impact of COVID-19,What do you do for leisure? If anything?,0,0,0,0,0
2021-12-29 18:20:52.703000+00:00,user,Survey on the impact of COVID-19,I read novels,0,0,0,1,0
2021-12-29 18:20:54.218000+00:00,chatbotAgentA,Survey on the impact of COVID-19,"It seems you are interested in intellectual activities, always enjoying learning new things just like me :-)",0,0,0,0,0
2021-12-29 18:20:56.228000+00:00,chatbotAgentA,Survey on the impact of COVID-19,"What activities that were once a chore are now leisure? For example, going grocery shopping, or going to the drugstore?",0,0,0,0,0
2021-12-29 18:21:52.435000+00:00,user,Survey on the impact of COVID-19,I used to hate doing dishes but I appreciate it now since it means I'm saving money,0,0,0,1,1
2021-12-29 18:21:57.081000+00:00,chatbotAgentA,Survey on the impact of COVID-19,Are these things still especially fun or are they back to being a chore/take up unnecessary time?,0,0,0,0,0
2021-12-29 18:22:12.351000+00:00,user,Survey on the impact of COVID-19,They are fun,0,0,0,0,0
2021-12-29 18:22:17.963000+00:00,chatbotAgentA,Survey on the impact of COVID-19,Do you find yourself participating in leisure activities via zoom or online that you never normally would have?,0,0,0,0,0
2021-12-29 18:23:04.580000+00:00,user,Survey on the impact of COVID-19,No,0,0,0,0,0
2021-12-29 18:23:06.056000+00:00,chatbotAgentA,Survey on the impact of COVID-19,Okay.,0,0,0,0,0
2021-12-29 18:23:08.063000+00:00,chatbotAgentA,Survey on the impact of COVID-19,Do you find that you are still catching up with friends over zoom or going to zoom events?,0,0,0,0,0
2021-12-29 18:23:29.911000+00:00,user,Survey on the impact of COVID-19,no,0,0,0,0,0
2021-12-29 18:23:31.336000+00:00,chatbotAgentA,Survey on the impact of COVID-19,Understood.,0,0,0,0,0
2021-12-29 18:23:33.360000+00:00,chatbotAgentA,Survey on the impact of COVID-19,Have you picked up any hobbies since COVID began?,0,0,0,0,0
2021-12-29 18:23:41.527000+00:00,user,Survey on the impact of COVID-19,woodworking,0,0,0,0,0
2021-12-29 18:23:45.940000+00:00,chatbotAgentA,Survey on the impact of COVID-19,Have you lost/ stopped any hobbies?,0,0,0,0,0
2021-12-29 18:23:50.913000+00:00,user,Survey on the impact of COVID-19,traveling,0,0,0,0,0
2021-12-29 18:23:56.352000+00:00,chatbotAgentA,Survey on the impact of COVID-19,"Are you exercising? If so, what kind of exercise?",0,0,0,0,0
2021-12-29 18:24:01.503000+00:00,user,Survey on the impact of COVID-19,I do yoga,0,0,0,0,0
2021-12-29 18:24:02.954000+00:00,chatbotAgentA,Survey on the impact of COVID-19,Great.,0,0,0,0,0
2021-12-29 18:24:04.971000+00:00,chatbotAgentA,Survey on the impact of COVID-19,Are you going to the gym now that the gym has reopened?,0,0,0,0,0
2021-12-29 18:24:08.363000+00:00,user,Survey on the impact of COVID-19,No,0,0,0,0,0
2021-12-29 18:24:09.815000+00:00,chatbotAgentA,Survey on the impact of COVID-19,Thanks for letting me know.,0,0,0,0,0
2021-12-29 18:24:11.829000+00:00,chatbotAgentA,Survey on the impact of COVID-19,Do you attend online exercise classes or use an app to help you stay accountable?,0,0,0,0,0
2021-12-29 18:24:26.405000+00:00,user,Survey on the impact of COVID-19,No,0,0,0,0,0
2021-12-29 18:24:27.873000+00:00,chatbotAgentA,Survey on the impact of COVID-19,Okay.,0,0,0,0,0
2021-12-29 18:24:29.044000+00:00,chatbotAgentA,Survey on the impact of COVID-19,Thank you for taking the time to complete this survey. Please click on 'END CHAT' button to start the post-study questionnaire.,0,0,0,0,0
